nohup: ignoring input
path ./data/gigaspeech/train.txt
path ./data/gigaspeech/valid.txt
path ./data/gigaspeech/test.txt
Vocabulary Size:  27710
Total number of model parameters: 11.75M
| epoch   1 |   500/15983 batches | lr 20.00 | ms/batch  9.32 | loss  6.84 | ppl   935.18
| epoch   2 |  1000/15983 batches | lr 20.00 | ms/batch  9.53 | loss  5.09 | ppl   163.15
| epoch   2 |  1500/15983 batches | lr 20.00 | ms/batch  9.33 | loss  5.11 | ppl   165.45
| epoch   2 |  2000/15983 batches | lr 20.00 | ms/batch  9.22 | loss  5.03 | ppl   152.79
| epoch   2 |  2500/15983 batches | lr 20.00 | ms/batch  9.27 | loss  5.00 | ppl   148.65
| epoch   2 |  3000/15983 batches | lr 20.00 | ms/batch  9.27 | loss  5.04 | ppl   154.88
| epoch   2 |  3500/15983 batches | lr 20.00 | ms/batch  8.46 | loss  5.05 | ppl   156.74
| epoch   2 |  4000/15983 batches | lr 20.00 | ms/batch  8.38 | loss  5.05 | ppl   156.32
| epoch   2 |  4500/15983 batches | lr 20.00 | ms/batch  8.46 | loss  5.05 | ppl   156.55
| epoch   2 |  5000/15983 batches | lr 20.00 | ms/batch  8.25 | loss  5.06 | ppl   157.18
| epoch   2 |  5500/15983 batches | lr 20.00 | ms/batch  8.33 | loss  5.04 | ppl   154.20
| epoch   2 |  6000/15983 batches | lr 20.00 | ms/batch  8.34 | loss  5.05 | ppl   156.77
| epoch   2 |  6500/15983 batches | lr 20.00 | ms/batch  8.41 | loss  5.01 | ppl   149.46
| epoch   2 |  7000/15983 batches | lr 20.00 | ms/batch  8.33 | loss  5.02 | ppl   151.78
| epoch   2 |  7500/15983 batches | lr 20.00 | ms/batch  8.37 | loss  4.99 | ppl   146.98
| epoch   2 |  8000/15983 batches | lr 20.00 | ms/batch  8.38 | loss  5.06 | ppl   157.86
| epoch   2 |  8500/15983 batches | lr 20.00 | ms/batch  8.50 | loss  5.00 | ppl   148.34
| epoch   2 |  9000/15983 batches | lr 20.00 | ms/batch  8.48 | loss  4.96 | ppl   142.22
| epoch   2 |  9500/15983 batches | lr 20.00 | ms/batch  8.65 | loss  4.97 | ppl   144.28
| epoch   2 | 10000/15983 batches | lr 20.00 | ms/batch  8.45 | loss  4.96 | ppl   141.92
| epoch   2 | 10500/15983 batches | lr 20.00 | ms/batch  8.66 | loss  5.00 | ppl   148.01
| epoch   2 | 11000/15983 batches | lr 20.00 | ms/batch  8.52 | loss  5.00 | ppl   149.12
| epoch   2 | 11500/15983 batches | lr 20.00 | ms/batch  8.54 | loss  4.98 | ppl   144.94
| epoch   2 | 12000/15983 batches | lr 20.00 | ms/batch  7.22 | loss  4.97 | ppl   144.12
| epoch   2 | 12500/15983 batches | lr 20.00 | ms/batch  7.05 | loss  4.93 | ppl   138.63
| epoch   2 | 13000/15983 batches | lr 20.00 | ms/batch  7.98 | loss  4.96 | ppl   142.11
| epoch   2 | 13500/15983 batches | lr 20.00 | ms/batch  8.04 | loss  4.98 | ppl   145.07
| epoch   2 | 14000/15983 batches | lr 20.00 | ms/batch  8.09 | loss  4.99 | ppl   146.99
| epoch   2 | 14500/15983 batches | lr 20.00 | ms/batch  8.09 | loss  4.93 | ppl   139.03
| epoch   2 | 15000/15983 batches | lr 20.00 | ms/batch  8.19 | loss  4.93 | ppl   137.77
| epoch   2 | 15500/15983 batches | lr 20.00 | ms/batch  8.18 | loss  4.93 | ppl   137.90
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 135.87s | valid loss  5.13 | valid ppl   168.55
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 20.00 | ms/batch  8.15 | loss  4.97 | ppl   143.91
| epoch   3 |  1000/15983 batches | lr 20.00 | ms/batch  8.11 | loss  4.97 | ppl   144.57
| epoch   3 |  1500/15983 batches | lr 20.00 | ms/batch  7.97 | loss  4.99 | ppl   146.30
| epoch   3 |  2000/15983 batches | lr 20.00 | ms/batch  7.01 | loss  4.92 | ppl   136.63
| epoch   3 |  2500/15983 batches | lr 20.00 | ms/batch  6.84 | loss  4.91 | ppl   135.00
| epoch   3 |  3000/15983 batches | lr 20.00 | ms/batch  7.08 | loss  4.94 | ppl   140.17
| epoch   3 |  3500/15983 batches | lr 20.00 | ms/batch  7.03 | loss  4.96 | ppl   142.19
| epoch   3 |  4000/15983 batches | lr 20.00 | ms/batch  6.86 | loss  4.95 | ppl   141.49
| epoch   3 |  4500/15983 batches | lr 20.00 | ms/batch  6.64 | loss  4.95 | ppl   141.72
| epoch   3 |  5000/15983 batches | lr 20.00 | ms/batch  6.23 | loss  4.97 | ppl   143.34
| epoch   3 |  5500/15983 batches | lr 20.00 | ms/batch  6.52 | loss  4.95 | ppl   141.35
| epoch   3 |  6000/15983 batches | lr 20.00 | ms/batch  7.03 | loss  4.97 | ppl   143.59
| epoch   3 |  6500/15983 batches | lr 20.00 | ms/batch  7.04 | loss  4.93 | ppl   137.85
| epoch   3 |  7000/15983 batches | lr 20.00 | ms/batch  7.17 | loss  4.94 | ppl   139.56
| epoch   3 |  7500/15983 batches | lr 20.00 | ms/batch  7.00 | loss  4.91 | ppl   135.36
| epoch   3 |  8000/15983 batches | lr 20.00 | ms/batch  7.12 | loss  4.98 | ppl   145.44
| epoch   3 |  8500/15983 batches | lr 20.00 | ms/batch  8.71 | loss  4.93 | ppl   137.85
| epoch   3 |  9000/15983 batches | lr 20.00 | ms/batch  8.68 | loss  4.89 | ppl   132.42
| epoch   3 |  9500/15983 batches | lr 20.00 | ms/batch  8.84 | loss  4.90 | ppl   134.56
| epoch   3 | 10000/15983 batches | lr 20.00 | ms/batch  8.83 | loss  4.88 | ppl   132.21
| epoch   3 | 10500/15983 batches | lr 20.00 | ms/batch  8.63 | loss  4.93 | ppl   138.72
| epoch   3 | 11000/15983 batches | lr 20.00 | ms/batch  7.79 | loss  4.94 | ppl   139.14
| epoch   3 | 11500/15983 batches | lr 20.00 | ms/batch  7.54 | loss  4.91 | ppl   135.73
| epoch   3 | 12000/15983 batches | lr 20.00 | ms/batch  7.51 | loss  4.91 | ppl   135.55
| epoch   3 | 12500/15983 batches | lr 20.00 | ms/batch  7.91 | loss  4.87 | ppl   130.01
| epoch   3 | 13000/15983 batches | lr 20.00 | ms/batch  7.43 | loss  4.89 | ppl   133.11
| epoch   3 | 13500/15983 batches | lr 20.00 | ms/batch  7.30 | loss  4.91 | ppl   135.89
| epoch   3 | 14000/15983 batches | lr 20.00 | ms/batch  7.37 | loss  4.93 | ppl   138.16
| epoch   3 | 14500/15983 batches | lr 20.00 | ms/batch  7.40 | loss  4.88 | ppl   131.62
| epoch   3 | 15000/15983 batches | lr 20.00 | ms/batch  7.50 | loss  4.87 | ppl   130.58
| epoch   3 | 15500/15983 batches | lr 20.00 | ms/batch  7.38 | loss  4.87 | ppl   129.95
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 120.62s | valid loss  5.09 | valid ppl   161.70
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 20.00 | ms/batch  7.65 | loss  4.91 | ppl   135.78
| epoch   4 |  1000/15983 batches | lr 20.00 | ms/batch  9.50 | loss  4.91 | ppl   135.84
| epoch   4 |  1500/15983 batches | lr 20.00 | ms/batch  9.31 | loss  4.92 | ppl   137.68
| epoch   4 |  2000/15983 batches | lr 20.00 | ms/batch  9.41 | loss  4.86 | ppl   129.50
| epoch   4 |  2500/15983 batches | lr 20.00 | ms/batch  9.41 | loss  4.86 | ppl   128.76
| epoch   4 |  3000/15983 batches | lr 20.00 | ms/batch  9.25 | loss  4.89 | ppl   133.55
| epoch   4 |  3500/15983 batches | lr 20.00 | ms/batch  9.39 | loss  4.91 | ppl   135.33
| epoch   4 |  4000/15983 batches | lr 20.00 | ms/batch  9.22 | loss  4.90 | ppl   134.11
| epoch   4 |  4500/15983 batches | lr 20.00 | ms/batch  9.52 | loss  4.90 | ppl   134.86
| epoch   4 |  5000/15983 batches | lr 20.00 | ms/batch  9.33 | loss  4.91 | ppl   136.02
| epoch   4 |  5500/15983 batches | lr 20.00 | ms/batch  9.27 | loss  4.91 | ppl   135.16
| epoch   4 |  6000/15983 batches | lr 20.00 | ms/batch  9.44 | loss  4.92 | ppl   137.23
| epoch   4 |  6500/15983 batches | lr 20.00 | ms/batch  9.17 | loss  4.88 | ppl   132.10
| epoch   4 |  7000/15983 batches | lr 20.00 | ms/batch  9.22 | loss  4.89 | ppl   133.34
| epoch   4 |  7500/15983 batches | lr 20.00 | ms/batch  8.42 | loss  4.86 | ppl   129.61
| epoch   4 |  8000/15983 batches | lr 20.00 | ms/batch  8.39 | loss  4.93 | ppl   139.01
| epoch   4 |  8500/15983 batches | lr 20.00 | ms/batch  8.54 | loss  4.88 | ppl   132.25
| epoch   4 |  9000/15983 batches | lr 20.00 | ms/batch  8.44 | loss  4.85 | ppl   127.37
| epoch   4 |  9500/15983 batches | lr 20.00 | ms/batch  8.58 | loss  4.86 | ppl   129.57
| epoch   4 | 10000/15983 batches | lr 20.00 | ms/batch  8.52 | loss  4.84 | ppl   126.88
| epoch   4 | 10500/15983 batches | lr 20.00 | ms/batch  8.53 | loss  4.89 | ppl   133.12
| epoch   4 | 11000/15983 batches | lr 20.00 | ms/batch  8.49 | loss  4.90 | ppl   133.85
| epoch   4 | 11500/15983 batches | lr 20.00 | ms/batch  8.57 | loss  4.87 | ppl   130.35
| epoch   4 | 12000/15983 batches | lr 20.00 | ms/batch  8.44 | loss  4.87 | ppl   130.46
| epoch   4 | 12500/15983 batches | lr 20.00 | ms/batch  8.59 | loss  4.84 | ppl   125.85
| epoch   4 | 13000/15983 batches | lr 20.00 | ms/batch  8.60 | loss  4.86 | ppl   128.58
| epoch   4 | 13500/15983 batches | lr 20.00 | ms/batch  8.76 | loss  4.88 | ppl   131.07
| epoch   4 | 14000/15983 batches | lr 20.00 | ms/batch  8.53 | loss  4.89 | ppl   132.80
| epoch   4 | 14500/15983 batches | lr 20.00 | ms/batch  8.59 | loss  4.85 | ppl   127.39
| epoch   4 | 15000/15983 batches | lr 20.00 | ms/batch  8.41 | loss  4.84 | ppl   126.44
| epoch   4 | 15500/15983 batches | lr 20.00 | ms/batch  8.02 | loss  4.83 | ppl   125.71
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 140.89s | valid loss  5.06 | valid ppl   157.35
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 20.00 | ms/batch  7.97 | loss  4.87 | ppl   130.92
| epoch   5 |  1000/15983 batches | lr 20.00 | ms/batch  8.20 | loss  4.88 | ppl   131.30
| epoch   5 |  1500/15983 batches | lr 20.00 | ms/batch  8.19 | loss  4.89 | ppl   132.82
| epoch   5 |  2000/15983 batches | lr 20.00 | ms/batch  8.23 | loss  4.83 | ppl   125.40
| epoch   5 |  2500/15983 batches | lr 20.00 | ms/batch  8.24 | loss  4.82 | ppl   124.55
| epoch   5 |  3000/15983 batches | lr 20.00 | ms/batch  8.12 | loss  4.86 | ppl   129.37
| epoch   5 |  3500/15983 batches | lr 20.00 | ms/batch  8.10 | loss  4.88 | ppl   131.23
| epoch   5 |  4000/15983 batches | lr 20.00 | ms/batch  8.07 | loss  4.87 | ppl   130.08
| epoch   5 |  4500/15983 batches | lr 20.00 | ms/batch  8.12 | loss  4.87 | ppl   130.84
| epoch   5 |  5000/15983 batches | lr 20.00 | ms/batch  8.17 | loss  4.88 | ppl   131.73
| epoch   5 |  5500/15983 batches | lr 20.00 | ms/batch  7.21 | loss  4.88 | ppl   131.35
| epoch   5 |  6000/15983 batches | lr 20.00 | ms/batch  6.90 | loss  4.89 | ppl   132.80
| epoch   5 |  6500/15983 batches | lr 20.00 | ms/batch  6.79 | loss  4.85 | ppl   128.03
| epoch   5 |  7000/15983 batches | lr 20.00 | ms/batch  6.88 | loss  4.86 | ppl   129.64
| epoch   5 |  7500/15983 batches | lr 20.00 | ms/batch  6.93 | loss  4.83 | ppl   125.82
| epoch   5 |  8000/15983 batches | lr 20.00 | ms/batch  6.77 | loss  4.90 | ppl   134.60
| epoch   5 |  8500/15983 batches | lr 20.00 | ms/batch  6.13 | loss  4.86 | ppl   128.74
| epoch   5 |  9000/15983 batches | lr 20.00 | ms/batch  6.21 | loss  4.82 | ppl   123.98
| epoch   5 |  9500/15983 batches | lr 20.00 | ms/batch  7.18 | loss  4.84 | ppl   126.05
| epoch   5 | 10000/15983 batches | lr 20.00 | ms/batch  7.08 | loss  4.82 | ppl   123.71
| epoch   5 | 10500/15983 batches | lr 20.00 | ms/batch  7.02 | loss  4.86 | ppl   129.35
| epoch   5 | 11000/15983 batches | lr 20.00 | ms/batch  7.20 | loss  4.87 | ppl   130.50
| epoch   5 | 11500/15983 batches | lr 20.00 | ms/batch  6.95 | loss  4.85 | ppl   127.28
| epoch   5 | 12000/15983 batches | lr 20.00 | ms/batch  8.22 | loss  4.84 | ppl   126.99
| epoch   5 | 12500/15983 batches | lr 20.00 | ms/batch  8.74 | loss  4.81 | ppl   122.61
| epoch   5 | 13000/15983 batches | lr 20.00 | ms/batch  8.79 | loss  4.83 | ppl   125.31
| epoch   5 | 13500/15983 batches | lr 20.00 | ms/batch  8.73 | loss  4.85 | ppl   127.74
| epoch   5 | 14000/15983 batches | lr 20.00 | ms/batch  8.66 | loss  4.87 | ppl   129.79
| epoch   5 | 14500/15983 batches | lr 20.00 | ms/batch  8.02 | loss  4.82 | ppl   124.51
| epoch   5 | 15000/15983 batches | lr 20.00 | ms/batch  7.46 | loss  4.82 | ppl   123.76
| epoch   5 | 15500/15983 batches | lr 20.00 | ms/batch  7.32 | loss  4.81 | ppl   122.61
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 122.61s | valid loss  5.04 | valid ppl   154.94
-----------------------------------------------------------------------------------------
| epoch   6 |   500/15983 batches | lr 20.00 | ms/batch  7.55 | loss  4.85 | ppl   128.09
| epoch   6 |  1000/15983 batches | lr 20.00 | ms/batch  7.43 | loss  4.85 | ppl   128.08
| epoch   6 |  1500/15983 batches | lr 20.00 | ms/batch  7.33 | loss  4.86 | ppl   129.31
| epoch   6 |  2000/15983 batches | lr 20.00 | ms/batch  7.47 | loss  4.81 | ppl   122.33
| epoch   6 |  2500/15983 batches | lr 20.00 | ms/batch  7.51 | loss  4.80 | ppl   122.08
| epoch   6 |  3000/15983 batches | lr 20.00 | ms/batch  7.45 | loss  4.84 | ppl   126.61
| epoch   6 |  3500/15983 batches | lr 20.00 | ms/batch  7.43 | loss  4.85 | ppl   128.25
| epoch   6 |  4000/15983 batches | lr 20.00 | ms/batch  7.45 | loss  4.84 | ppl   126.96
| epoch   6 |  4500/15983 batches | lr 20.00 | ms/batch  8.95 | loss  4.85 | ppl   127.90
| epoch   6 |  5000/15983 batches | lr 20.00 | ms/batch  9.56 | loss  4.86 | ppl   128.83
| epoch   6 |  5500/15983 batches | lr 20.00 | ms/batch  9.49 | loss  4.86 | ppl   128.59
| epoch   6 |  6000/15983 batches | lr 20.00 | ms/batch  9.27 | loss  4.87 | ppl   130.01
| epoch   6 |  6500/15983 batches | lr 20.00 | ms/batch  9.05 | loss  4.83 | ppl   125.74
| epoch   6 |  7000/15983 batches | lr 20.00 | ms/batch  9.38 | loss  4.84 | ppl   126.82
| epoch   6 |  7500/15983 batches | lr 20.00 | ms/batch  9.10 | loss  4.82 | ppl   123.45
| epoch   6 |  8000/15983 batches | lr 20.00 | ms/batch  9.21 | loss  4.88 | ppl   131.40
| epoch   6 |  8500/15983 batches | lr 20.00 | ms/batch  9.16 | loss  4.84 | ppl   126.05
| epoch   6 |  9000/15983 batches | lr 20.00 | ms/batch  9.31 | loss  4.80 | ppl   122.03
| epoch   6 |  9500/15983 batches | lr 20.00 | ms/batch  9.27 | loss  4.82 | ppl   123.90
| epoch   6 | 10000/15983 batches | lr 20.00 | ms/batch  9.12 | loss  4.80 | ppl   121.41
| epoch   6 | 10500/15983 batches | lr 20.00 | ms/batch  9.26 | loss  4.84 | ppl   127.04
| epoch   6 | 11000/15983 batches | lr 20.00 | ms/batch  8.60 | loss  4.85 | ppl   127.89
| epoch   6 | 11500/15983 batches | lr 20.00 | ms/batch  8.39 | loss  4.83 | ppl   125.01
| epoch   6 | 12000/15983 batches | lr 20.00 | ms/batch  8.60 | loss  4.82 | ppl   124.48
| epoch   6 | 12500/15983 batches | lr 20.00 | ms/batch  8.61 | loss  4.79 | ppl   120.52
| epoch   6 | 13000/15983 batches | lr 20.00 | ms/batch  8.45 | loss  4.81 | ppl   123.29
| epoch   6 | 13500/15983 batches | lr 20.00 | ms/batch  8.68 | loss  4.83 | ppl   125.42
| epoch   6 | 14000/15983 batches | lr 20.00 | ms/batch  8.57 | loss  4.85 | ppl   127.62
| epoch   6 | 14500/15983 batches | lr 20.00 | ms/batch  8.54 | loss  4.81 | ppl   122.59
| epoch   6 | 15000/15983 batches | lr 20.00 | ms/batch  8.76 | loss  4.80 | ppl   121.52
| epoch   6 | 15500/15983 batches | lr 20.00 | ms/batch  8.62 | loss  4.79 | ppl   120.52
-----------------------------------------------------------------------------------------
| end of epoch   6 | time: 137.86s | valid loss  5.03 | valid ppl   153.04
-----------------------------------------------------------------------------------------
=========================================================================================
| End of training | test loss  5.10 | test ppl   163.78
=========================================================================================
